,num_images,num_males,num_females,cooccuring,min_num_gender
horse,675,434,241,"[('truck', 30), ('dog', 17), ('bus', 12), ('potted plant', 12), ('umbrella', 11), ('bench', 9), ('bicycle', 6), ('cup', 5), ('traffic light', 5), ('sports ball', 4), ('bowl', 4), ('clock', 4), ('bird', 4), ('stop sign', 3), ('tv', 3), ('dining table', 3), ('carrot', 3), ('knife', 2), ('book', 2), ('fire hydrant', 2), ('spoon', 2), ('vase', 1), ('oven', 1), ('suitcase', 1), ('wine glass', 1)]",241
car,627,455,172,"[('truck', 194), ('traffic light', 128), ('bicycle', 110), ('umbrella', 102), ('bus', 97), ('bench', 64), ('fire hydrant', 54), ('stop sign', 53), ('dog', 49), ('sports ball', 38), ('parking meter', 31), ('suitcase', 27), ('baseball bat', 25), ('potted plant', 20), ('clock', 14), ('cup', 13), ('book', 12), ('bird', 11), ('dining table', 10), ('laptop', 9), ('teddy bear', 7), ('bowl', 6), ('sandwich', 6), ('orange', 6), ('cake', 5), ('spoon', 5), ('knife', 4), ('carrot', 4), ('refrigerator', 4), ('fork', 4), ('cat', 3), ('microwave', 2), ('apple', 2), ('wine glass', 2), ('tv', 2), ('vase', 1), ('remote', 1), ('oven', 1), ('sink', 1), ('mouse', 1), ('keyboard', 1)]",172
bottle,619,348,271,"[('bowl', 231), ('cup', 201), ('oven', 157), ('knife', 134), ('wine glass', 132), ('sink', 130), ('refrigerator', 126), ('dining table', 117), ('spoon', 117), ('microwave', 69), ('cake', 51), ('book', 47), ('potted plant', 47), ('vase', 38), ('sandwich', 37), ('clock', 35), ('tv', 32), ('remote', 29), ('dog', 28), ('fork', 27), ('laptop', 24), ('bench', 18), ('carrot', 17), ('orange', 17), ('apple', 15), ('bicycle', 13), ('umbrella', 11), ('cat', 9), ('baseball bat', 9), ('keyboard', 7), ('truck', 6), ('sports ball', 5), ('bus', 4), ('suitcase', 4), ('teddy bear', 4), ('bird', 4), ('fire hydrant', 3), ('mouse', 3), ('stop sign', 2)]",271
kite,596,437,159,"[('bench', 23), ('dog', 19), ('bicycle', 14), ('umbrella', 10), ('bird', 8), ('truck', 8), ('sports ball', 5), ('potted plant', 4), ('clock', 2), ('bus', 2), ('wine glass', 1), ('suitcase', 1), ('cup', 1), ('teddy bear', 1)]",159
motorcycle,583,516,67,"[('bicycle', 63), ('truck', 40), ('dog', 19), ('bus', 11), ('umbrella', 11), ('bench', 9), ('stop sign', 9), ('traffic light', 9), ('potted plant', 6), ('book', 4), ('bird', 4), ('clock', 3), ('suitcase', 3), ('sports ball', 2), ('bowl', 2), ('teddy bear', 2), ('dining table', 2), ('cup', 2), ('refrigerator', 1), ('apple', 1), ('tv', 1), ('cat', 1), ('sandwich', 1), ('knife', 1), ('fire hydrant', 1), ('baseball bat', 1), ('parking meter', 1)]",67
handbag,524,149,375,"[('umbrella', 185), ('bench', 97), ('suitcase', 75), ('bicycle', 52), ('bus', 33), ('dog', 31), ('traffic light', 27), ('truck', 23), ('cup', 23), ('book', 23), ('potted plant', 20), ('clock', 19), ('teddy bear', 16), ('fire hydrant', 15), ('laptop', 14), ('dining table', 13), ('bird', 12), ('tv', 11), ('sink', 10), ('wine glass', 10), ('bowl', 9), ('remote', 8), ('cake', 7), ('stop sign', 7), ('sports ball', 6), ('vase', 6), ('cat', 6), ('spoon', 6), ('orange', 6), ('baseball bat', 5), ('sandwich', 5), ('parking meter', 5), ('fork', 5), ('knife', 5), ('refrigerator', 4), ('apple', 4), ('microwave', 3), ('oven', 2), ('carrot', 2), ('mouse', 1)]",149
bed,423,181,242,"[('book', 96), ('laptop', 61), ('cat', 42), ('dog', 40), ('teddy bear', 37), ('clock', 20), ('remote', 20), ('tv', 19), ('cup', 18), ('suitcase', 14), ('potted plant', 7), ('bowl', 6), ('keyboard', 5), ('vase', 5), ('wine glass', 3), ('bird', 3), ('umbrella', 3), ('fork', 2), ('knife', 2), ('sandwich', 2), ('bicycle', 2), ('sink', 2), ('fire hydrant', 1), ('dining table', 1), ('carrot', 1), ('cake', 1), ('spoon', 1), ('truck', 1), ('bench', 1), ('apple', 1), ('sports ball', 1)]",181
couch,394,227,167,"[('remote', 221), ('book', 81), ('laptop', 75), ('cup', 69), ('dog', 61), ('tv', 60), ('cat', 41), ('potted plant', 34), ('vase', 24), ('dining table', 22), ('clock', 20), ('teddy bear', 18), ('wine glass', 16), ('keyboard', 14), ('bowl', 14), ('cake', 12), ('mouse', 11), ('fork', 8), ('refrigerator', 7), ('spoon', 6), ('knife', 5), ('carrot', 4), ('bird', 3), ('suitcase', 3), ('microwave', 2), ('sandwich', 2), ('bench', 2), ('sports ball', 2), ('baseball bat', 1), ('sink', 1), ('orange', 1)]",167
backpack,297,230,67,"[('bicycle', 57), ('suitcase', 53), ('bench', 49), ('umbrella', 31), ('bus', 26), ('dog', 23), ('fire hydrant', 14), ('potted plant', 12), ('cup', 11), ('sports ball', 10), ('stop sign', 10), ('traffic light', 9), ('laptop', 9), ('book', 9), ('truck', 9), ('clock', 7), ('baseball bat', 6), ('teddy bear', 6), ('parking meter', 5), ('bird', 5), ('tv', 5), ('cat', 4), ('remote', 4), ('wine glass', 3), ('dining table', 3), ('cake', 2), ('refrigerator', 2), ('sink', 2), ('bowl', 2), ('orange', 2), ('vase', 2), ('spoon', 1), ('mouse', 1), ('oven', 1), ('apple', 1), ('microwave', 1), ('keyboard', 1)]",67
boat,292,231,61,"[('dog', 31), ('umbrella', 27), ('bench', 21), ('bird', 13), ('tv', 6), ('clock', 5), ('potted plant', 4), ('truck', 3), ('bowl', 3), ('bicycle', 2), ('cat', 2), ('laptop', 2), ('sandwich', 2), ('book', 2), ('apple', 2), ('sports ball', 2), ('knife', 1), ('remote', 1), ('teddy bear', 1), ('suitcase', 1), ('dining table', 1), ('parking meter', 1), ('keyboard', 1)]",61
pizza,277,166,111,"[('dining table', 105), ('knife', 81), ('cup', 71), ('fork', 55), ('oven', 49), ('bowl', 41), ('spoon', 23), ('wine glass', 20), ('potted plant', 14), ('refrigerator', 13), ('tv', 12), ('bench', 11), ('microwave', 11), ('clock', 10), ('sink', 7), ('book', 6), ('sandwich', 6), ('keyboard', 5), ('vase', 4), ('laptop', 4), ('carrot', 3), ('mouse', 2), ('cat', 2), ('cake', 2), ('suitcase', 1), ('dog', 1), ('bicycle', 1)]",111
elephant,266,226,40,"[('bench', 21), ('sports ball', 7), ('truck', 7), ('umbrella', 7), ('bicycle', 3), ('potted plant', 3), ('bird', 2), ('traffic light', 2), ('dining table', 1), ('book', 1), ('orange', 1), ('bowl', 1), ('dog', 1), ('bus', 1)]",40
banana,261,158,103,"[('apple', 32), ('bowl', 27), ('orange', 27), ('bicycle', 20), ('knife', 13), ('dining table', 12), ('umbrella', 12), ('cup', 11), ('spoon', 10), ('truck', 9), ('potted plant', 8), ('oven', 8), ('refrigerator', 5), ('cake', 5), ('fork', 5), ('tv', 4), ('sandwich', 4), ('clock', 3), ('bench', 3), ('dog', 3), ('wine glass', 3), ('carrot', 3), ('keyboard', 3), ('vase', 3), ('book', 1), ('remote', 1), ('microwave', 1), ('sink', 1), ('bus', 1), ('parking meter', 1), ('laptop', 1), ('suitcase', 1), ('cat', 1)]",103
donut,219,146,73,"[('dining table', 30), ('cup', 29), ('bowl', 13), ('cake', 11), ('oven', 8), ('sandwich', 8), ('knife', 7), ('spoon', 7), ('keyboard', 6), ('refrigerator', 6), ('potted plant', 5), ('clock', 4), ('bench', 4), ('sink', 4), ('fork', 4), ('tv', 3), ('laptop', 2), ('cat', 2), ('bicycle', 2), ('dog', 2), ('bus', 2), ('mouse', 1), ('remote', 1), ('umbrella', 1), ('truck', 1), ('baseball bat', 1), ('microwave', 1), ('orange', 1), ('wine glass', 1), ('book', 1), ('bird', 1)]",73
toothbrush,180,101,79,"[('sink', 21), ('cup', 8), ('book', 5), ('tv', 3), ('potted plant', 2), ('microwave', 2), ('dining table', 2), ('bird', 2), ('bench', 2), ('teddy bear', 2), ('vase', 2), ('dog', 2), ('bowl', 2), ('knife', 1), ('clock', 1), ('bicycle', 1), ('laptop', 1), ('wine glass', 1), ('traffic light', 1), ('spoon', 1), ('oven', 1)]",79
hot dog,162,105,57,"[('sandwich', 35), ('dining table', 25), ('cup', 15), ('knife', 8), ('umbrella', 7), ('oven', 6), ('bowl', 6), ('carrot', 4), ('bench', 4), ('tv', 3), ('spoon', 3), ('potted plant', 3), ('truck', 3), ('fork', 2), ('dog', 2), ('clock', 2), ('sink', 1), ('microwave', 1), ('wine glass', 1), ('suitcase', 1), ('refrigerator', 1), ('laptop', 1), ('keyboard', 1), ('book', 1), ('bicycle', 1), ('vase', 1)]",57
train,153,129,24,"[('traffic light', 11), ('suitcase', 10), ('bench', 6), ('bicycle', 6), ('truck', 4), ('umbrella', 3), ('bus', 3), ('clock', 3), ('stop sign', 2), ('potted plant', 2), ('cup', 1), ('sandwich', 1), ('bird', 1), ('apple', 1), ('teddy bear', 1), ('tv', 1)]",24
cow,151,109,42,"[('truck', 9), ('dog', 8), ('bicycle', 6), ('bird', 5), ('bench', 4), ('bus', 4), ('umbrella', 2), ('tv', 2), ('cat', 1), ('laptop', 1), ('cup', 1), ('clock', 1), ('dining table', 1), ('vase', 1)]",42
toilet,134,94,40,"[('sink', 47), ('book', 6), ('cup', 5), ('bowl', 4), ('dog', 2), ('cat', 2), ('laptop', 2), ('tv', 2), ('truck', 1), ('vase', 1), ('remote', 1), ('mouse', 1), ('keyboard', 1), ('teddy bear', 1), ('potted plant', 1)]",40
giraffe,125,64,61,"[('bench', 6), ('bird', 5), ('cup', 2), ('carrot', 2), ('bowl', 2), ('sports ball', 1), ('clock', 1), ('potted plant', 1), ('bus', 1), ('orange', 1), ('truck', 1), ('book', 1)]",61
scissors,110,62,48,"[('book', 7), ('cup', 7), ('knife', 7), ('bowl', 7), ('dining table', 4), ('dog', 3), ('laptop', 2), ('tv', 2), ('clock', 2), ('carrot', 2), ('vase', 2), ('keyboard', 1), ('mouse', 1), ('sink', 1), ('umbrella', 1), ('teddy bear', 1), ('cat', 1), ('wine glass', 1), ('cake', 1), ('spoon', 1), ('bird', 1), ('potted plant', 1)]",48
airplane,106,99,7,"[('truck', 21), ('suitcase', 8), ('bench', 4), ('bird', 2), ('remote', 2), ('bus', 2), ('clock', 2), ('stop sign', 1), ('cat', 1), ('bicycle', 1), ('cup', 1), ('dining table', 1)]",7
sheep,98,77,21,"[('dog', 17), ('truck', 5), ('bench', 3), ('bus', 3), ('knife', 1), ('potted plant', 1), ('laptop', 1), ('bicycle', 1), ('cup', 1), ('suitcase', 1), ('bowl', 1)]",21
